col_id,text
1,Just finished my morning run. 5 miles today! #motivation #spritual
2,Can't believe how expensive groceries have gotten lately. 7 for a dozen eggs?!
3,New Taylor Swift album is absolute fire! Been listening on repeat all day. #Swiftie
4,Working from home today and my cat won't stop walking on my keyboard ajdkfjalskdjf
5,That sunset tonight was absolutely breathtaking. Nature is incredible.
6,Traffic on the highway was a nightmare this morning. 45 minutes late to work.
7,Just booked tickets to Japan for spring break! So excited! #travel #wanderlust
8,Anyone else obsessed with The Bear? Just binged the whole season in one sitting.
9,My sourdough starter finally worked! Bread is in the oven and smells amazing.
10,Climate change is real and we need to take action now. #climateaction
11,Lost my phone at the concert last night. If anyone finds an iPhone with a red case please DM me!
12,Three cups of coffee and I'm still falling asleep at my desk. Monday vibes.
13,Just adopted the sweetest rescue puppy! Meet Luna! #adoptdontshop #dogsoftwitter
14,Trying to learn Spanish on Duolingo. 60 day streak so far! ¡Hola amigos!
15,These new noise-cancelling headphones are a game changer for open office plans.
16,Anyone have recommendations for good fantasy books? Finished Sanderson's latest.
17,Just PR'd on my deadlift! 315 pounds! #gains #fitness
18,Restaurant week in the city is my favorite time of year. So many great meals!
19,Why is airplane wifi still so terrible in 2025? Can barely load a webpage.
20,Apartment hunting in this market is soul-crushing. Everything is so expensive.
21,"Just watched the new Batman movie. Honestly, kind of overrated. #hottake"
22,Made homemade pasta for the first time! Not as hard as I thought it would be. #cooking
23,This new mechanical keyboard is so satisfying to type on. Click clack!
24,It's raining again? That's the third day this week! #aprilshowers
25,Just voted in the local election! Make your voice heard! #vote
26,My boss just approved my remote work proposal. Digital nomad life here I come!
27,That feeling when you finish a really good book and don't know what to do with yourself.
28,Avocados were on sale today. Guacamole party at my place! #avocadotoast
29,Just hit 10k subscribers on my channel! Thanks for all the support! #contentcreator
30,Does anyone else's back hurt from sitting at a desk all day or just me?
31,First day of spring and the cherry blossoms are already blooming! #spring
32,Can't believe it's been 10 years since high school. Feel old yet? #reunion
33,This AI generated art is getting scary good. Artists are concerned.
34,Who else is watching the game tonight? My team needs this win! #sports
35,Just got my tax refund! Time for some retail therapy. #shopping
36,The new update to this app is terrible. Who approved this UI? #baddesign
37,Nothing better than fresh sheets and a clean room. Adulting win! #cleaningday
38,Someone brought donuts to the office and they were gone in 5 minutes flat.
39,Local farmers market was packed today! So many great veggies in season. #eatlocal
40,Forgot my lunch at home and now I'm stuck with overpriced cafeteria food.
41,Just finished that show everyone's talking about. The ending was so disappointing!
42,My neighbor's dog has been barking for 3 hours straight. Send help.
43,The new coffee shop downtown has the best cold brew I've ever tasted.
44,Found a $20 bill in my winter coat pocket. Past me looking out for future me!
45,Anyone know how to fix a leaky faucet? YouTube tutorials not helping.
46,Starting a new job next week. Excited but nervous! #newbeginnings
47,The subway was delayed again this morning. Public transit needs serious funding.
48,Just deleted my facebook account and it feels so liberating. #digitaldetox
49,Nothing more satisfying than crossing everything off your to-do list. Productive day!
50,Dinner with friends tonight at that new Thai place. Heard great things! #foodie
51,My plants are thriving since I moved them to the south-facing window. #plantparent
52,"Just hit my 10,000 step goal and it's only noon! #activelifestyle"
53,Is it just me or do movies keep getting longer? 3 hours is too much sitting!
54,Listening to vinyl records on a rainy Saturday morning. Perfect vibe.
55,Forgot to put on sunscreen at the beach. Now I'm red as a lobster. #sunburn
56,Why do companies make it so hard to cancel subscriptions? Just spent 30 minutes on hold.
57,Nothing better than waking up naturally without an alarm clock. #weekend
58,Just baked cookies for my new neighbors. Old fashioned but effective welcome!
59,Trying to explain TikTok to my grandparents was the highlight of my day.
60,Why is it so hard to find jeans that actually fit well? #shoppingproblems
61,The hiking trail was absolutely stunning today. 8 miles and worth every step!
62,Just got tickets to my favorite band's reunion tour! Been waiting years for this!
63,My electric bill this month is outrageous. Time to unplug some things.
64,Started learning to play guitar last month. Fingers hurt but making progress!
65,Why does Instagram keep changing its algorithm? I miss chronological feeds.
66,Meal prepped for the entire week in just 2 hours. Sunday well spent! #mealprep
67,Anyone watching the meteor shower tonight? Clear skies where I am!
68,The laundromat lost one of my favorite socks. Tale as old as time.
69,Finally got my driver's license after failing the test twice! #perseverance
70,The new season of Stranger Things is blowing my mind. No spoilers please!
71,Witnessed an amazing act of kindness at the grocery store today. Faith in humanity restored.
72,My internet has been down for 6 hours. How did people survive before wifi?
73,Just found out my ex is getting married. Weird feeling but happy for them!
74,Making homemade ice cream was a success! Strawberry cheesecake flavor. #dessert
75,Pulled an all-nighter to finish this project. Running on caffeine and determination.
76,The new bike lane in my neighborhood makes commuting so much safer! #urbanplanning
77,Just tried virtual reality for the first time. Mind = blown. #VR #tech
78,Found a vintage record player at the thrift store for only $25! What a steal!
79,My phone battery dies so quickly now. Time for an upgrade I guess. #technology
80,Being an adult is just saying 'after this week things will calm down' every week forever.
81,Just witnessed the most beautiful proposal at the park. She said yes! #love
82,Trying to grow vegetables on my balcony. The tomatoes are thriving but the herbs died.
83,Three day weekend coming up and I have zero plans. Perfection. #relaxation
84,Just discovered my favorite childhood candy is being discontinued. Devastating news!
85,Mental health day from work today. Sometimes you just need to reset. #selfcare
86,This political debate is giving me a headache. Can't we all just get along?
87,My smart home setup keeps turning on the lights at random times. Ghost or glitch?
88,Started a book club with coworkers. First meeting tonight! #reading
89,Just had the most amazing ramen of my life. Worth waiting in line for an hour! #foodie
90,Thinking about going back to school for my master's degree. Big decision!
91,My houseplant collection has officially taken over my apartment. No regrets. #plantaddict
92,Just ran into my elementary school teacher at the grocery store. She remembered me!
93,The price of concert tickets these days is absolutely ridiculous. #inflation
